host_location,count
"Villa Ballester, Argentina",3
"Las Condes, Chile",3
"Jijoca de Jericoacoara, Brazil",3
"Fuengirola, Spain",3
"Trenque Lauquen, Argentina",3
"Chascomús, Argentina",3
"Wilde, Argentina",3
"San Jose, CA",3
"Caseros, Argentina",3
"Guillermo Hudson, Argentina",3
"Markham, Canada",3
"Hallandale Beach, FL",3
"Brussels, Belgium",3
"Guadalajara, Mexico",3
"Alberti, Argentina",3
"Marseille, France",3
"Coogee, Australia",3
"Balcarce, Argentina",3
"Rufino, Argentina",3
"Pinamar, Argentina",3
"Parana, Argentina",3
"Panama City, Panama",3
"Punta Ballena, Uruguay",3
"Brandsen, Argentina",3
"La Barra, Uruguay",3
"Lima, Peru",3
"Oslo, Norway",3
"Vigo, Spain",3
"Argentina, Argentina",3
"Pasadena, CA",3
"Lincoln, Argentina",3
"Argentine Township, MI",3
"Provincia de Buenos Aires, Argentina",3
"Luis Guillon, Argentina",3
"San Justo, Argentina",3
"Baradero, Argentina",3
"Philadelphia, PA",3
"Francisco Alvarez, Argentina",3
"Ibiza, Spain",3
"ASV, Argentina",3
"Bad Homburg, Germany",2
"Jeddah, Saudi Arabia",2
"Benalmádena, Spain",2
"Girona, Spain",2
"Frankfurt, Germany",2
"Niterói, Brazil",2
"Las Flores, Argentina",2
"Toulon, France",2
"General Roca, Argentina",2
"Rugby, United Kingdom",2
"Hanoi, Vietnam",2
"Necochea, Argentina",2
"Bevagna, Italy",2
"Cochabamba, Bolivia",2
"Coronel Suárez, Argentina",2
"Miramar, Argentina",2
"Exaltación de la Cruz, Argentina",2
"Cipolletti, Argentina",2
"Guernica, Argentina",2
"Munro, Argentina",2
"Concepción, Argentina",2
"Saint-Germain-en-Laye, France",2
"Garopaba, Brazil",2
"Victoria, Australia",2
"Colonia Del Sacramento, Uruguay",2
"Londres, Argentina",2
"Fort Lauderdale, FL",2
"Laprida, Argentina",2
"Quito, Ecuador",2
"Llavallol, Argentina",2
"San José, Costa Rica",2
"Paola, Italy",2
"Nyon, Switzerland",2
"Posadas, Argentina",2
"Sitges, Spain",2
"Sunny Isles Beach, FL",2
"Carreña, Spain",2
"Key West, FL",2
"General Alvear, Argentina",2
"Calgary, Canada",2
"Puerto San Julián, Argentina",2
"Medellín, Colombia",2
"Rawson, Argentina",2
"Morón, Argentina",2
"BMD, Argentina",2
"Belgrade, Serbia",2
"Moreno, Argentina",2
"Plottier, Argentina",2
"Reggio Calabria, Italy",2
Costa Rica,2
"Villa Sarmiento, Argentina",2
"Rochester, NY",2
"Jujuy, Argentina",2
"Abasto, Argentina",2
"San Miguel del Monte, Argentina",2
"Velletri, Italy",2
"Oberá, Argentina",2
"Passau, Germany",2
"Ciudad Jardín Lomas del Palomar, Argentina",2
"Luján de Cuyo, Argentina",2
"Filderstadt, Germany",2
"İstanbul, Turkey",2
"Rocha, Uruguay",2
"Navarro, Argentina",2
"Warsaw, Poland",2
"Ciudad de la Costa, Uruguay",2
"Innsbruck, Austria",2
"Paraty, Brazil",2
"Feldkirch, Austria",2
"Oxford, United Kingdom",2
"Tortuguitas, Argentina",2
"Viña del Mar, Chile",2
"San Clemente del Tuyú, Argentina",2
"San Lorenzo, Argentina",2
"Vitacura, Chile",2
"Los Polvorines, Argentina",2
"Victoria, Argentina",2
"Beverly Hills, CA",2
Canada,2
"Panama, Panama",2
"Colonia del Sacramento, Uruguay",2
"Union City, NJ",2
"Arrecifes, Argentina",2
"Berkeley, CA",2
"Quequén, Argentina",2
"Deerfield Beach, FL",2
"Brattleboro, VT",2
"Riyadh, Saudi Arabia",2
"Santiago Metropolitan Region, Chile",2
"Eduardo Castex, Argentina",2
"La Rioja, Argentina",2
"Rincón de Milberg, Argentina",2
"AAD, Argentina",2
"Punta Rubia, Uruguay",2
"Margate, United Kingdom",2
"New Orleans, LA",2
"Santa Cruz de la Sierra, Bolivia",2
"San Antonio de Areco, Argentina",2
Switzerland,2
"Portland, OR",2
"Nuestra Señora de La Paz, Bolivia",2
Germany,2
"Verona, Italy",2
"Arraial d'Ajuda, Brazil",2
"Fort Worth, TX",2
"CHU, Argentina",2
"Oakland, CA",2
"Jerusalem, Israel",2
"Rio Gallegos, Argentina",2
"El Palomar, Argentina",1
"C1414DNU, Argentina",1
Peru,1
"Maitencillo, Chile",1
"Worcester, United Kingdom",1
"Lake Worth, FL",1
"Itacaré, Brazil",1
"Santa Lucía, Argentina",1
"Juvigny, France",1
"Eglisau, Switzerland",1
"Daganzo de Arriba, Spain",1
"Fresno, CA",1
"Huinca Renancó, Argentina",1
"Rafaela, Argentina",1
"Oakville, Canada",1
"Lausanne, Switzerland",1
"Kathmandu, Nepal",1
"Redlands, CA",1
"Madison, WI",1
"Saavedra, Argentina",1
"Pando, Uruguay",1
"Obligado, Buenos Aires, Argentina",1
"Yala, Argentina",1
"Vera, Argentina",1
"Nuevo Portil, Spain",1
"Mendiolaza, Argentina",1
"Vejer de la Frontera, Spain",1
"Del Viso, Argentina",1
"Cunit, Spain",1
"Ciudad Evita, Argentina",1
"Aventura, FL",1
"Trieste, Italy",1
"Cosenza, Italy",1
"Pouso Alegre, Brazil",1
"Franklin Lakes, NJ",1
"Ciudadela, Argentina",1
"Añatuya, Argentina",1
"AAM, Argentina",1
"Beaumont-en-Véron, France",1
"San Rafael, CA",1
"Ashdod, Israel",1
"Vero Beach, FL",1
"Nice, France",1
"Sober, Spain",1
"Uribelarrea, Argentina",1
"Maldonado Department, Uruguay",1
"Las Rosas, Argentina",1
"Margaret River, Australia",1
"Ubatuba, Brazil",1
"Villa de Mayo, Argentina",1
"CQN, Argentina",1
"Cambridge, United Kingdom",1
"Cascais e Estoril, Portugal",1
"San Cristobal de La Laguna, Spain",1
"Juan Bautista Alberdi, Argentina",1
"Anisacate, Argentina",1
"Mina Clavero, Argentina",1
"Williams, OR",1
"Loma Hermosa, Argentina",1
"Hanover, Germany",1
"Winfield, IL",1
"Florø, Norway",1
"Ranelagh, Argentina",1
"Douglas, Isle of Man",1
"Villa Nueva, Argentina",1
"Aubèrt, Spain",1
"Dallas, TX",1
"Alice Springs, Australia",1
"Puerto Santa Cruz, Argentina",1
"Mozambique Island, Mozambique",1
"AAI, Argentina",1
"Sauce de Portezuelo, Uruguay",1
"Newburgh, NY",1
Singapore,1
"Ontario, Canada",1
"Temuco, Chile",1
Brazil,1
"Bergen, Norway",1
"Panamá, Panama",1
"Playa Union, Argentina",1
"Cabo San Lucas, Mexico",1
"Kaliningrad, Russia",1
"Lomas del Mirador, Argentina",1
"Cariló, Argentina",1
"Hamilton, Canada",1
"Huntington Beach, CA",1
"Purmamarca, Argentina",1
"Villa María, Argentina",1
"Henderson, NV",1
"General Pinto, Argentina",1
"Venado Tuerto, Argentina",1
"Béziers, France",1
"Modi'in-Maccabim-Re'ut, Israel",1
"Athens, Greece",1
"Lugano, Switzerland",1
"Balearic Islands, Spain",1
"Mar Azul, Argentina",1
"Cooper City, FL",1
"La Penilla, Spain",1
"Valentín Alsina, Argentina",1
"Maimará, Argentina",1
"Malvinas Argentinas, Argentina",1
"Praia Grande, Brazil",1
"Cuenca, Ecuador",1
"Puebla, Mexico",1
"Aguadulce, Spain",1
"Villa Gesell, Argentina",1
"Remedios de Escalada, Argentina",1
"San Bruno, CA",1
"FZB, Argentina",1
"Wichita, KS",1
"Meerbusch, Germany",1
"Buenos Aires, Argentina, Argentina",1
"Tablada, Argentina",1
"Ensenada, Argentina",1
"Aluminé, Argentina",1
"Providencia, Chile",1
"Itapema, Brazil",1
"AAW, Argentina",1
"City of Brussels, Belgium",1
"Clermont, FL",1
"Gregorio de Laferrère, Argentina",1
"Lake Placid, NY",1
"Dolavon, Argentina",1
"Clovis, CA",1
"Lobos, Argentina",1
"Campo de los Andes, Argentina",1
"Weston, FL",1
"Balneário Camboriú, Brazil",1
"Montpellier, France",1
"Trevelin, Argentina",1
"Scottsdale, AZ",1
"Aurora, IL",1
"Palo Alto, CA",1
"Santa Ana de los Guácaras, Argentina",1
"El Bolsón, Argentina",1
"Newark, NJ",1
"Nicotera, Italy",1
"González Catán, Argentina",1
"Recoleta, Chile",1
"Alessandria, Italy",1
"Las Palmas de Gran Canaria, Spain",1
"Bocapán, Peru",1
"Tafí del Valle, Argentina",1
"Tanti, Argentina",1
"Loja, Ecuador",1
"Sonoma, CA",1
"Leeds, United Kingdom",1
"Pehuajó, Argentina",1
"Pfaffenhofen an der Ilm, Germany",1
"Montecarlo, Argentina",1
"Bloomfield, NJ",1
"ABO, Argentina",1
"Ponte Vedra Beach, FL",1
"Veinticinco de Mayo, Argentina",1
"Ottawa, Canada",1
"Wanaka, New Zealand",1
"Hastings-on-Hudson, NY",1
"Ave Maria, FL",1
"San Antonio, TX",1
"Villa Bosch, Argentina",1
"Decatur, AL",1
"Istanbul, Turkey",1
"Funes, Argentina",1
"Antwerp, Belgium",1
"Topanga, CA",1
"A Coruña, Spain",1
"La Población, Argentina",1
"Londrina, Brazil",1
"Rosario, Uruguay",1
"Ciudad de México, Mexico",1
"Cúcuta, Colombia",1
"Mammoth Lakes, CA",1
"Porto Velho, Brazil",1
"Tangier, Morocco",1
"San Marcos Sierras, Argentina",1
"Dolores, Argentina",1
"Gold Coast, Australia",1
"Stuttgart, Germany",1
"Culver City, CA",1
"Andalusia, Spain",1
"Sao Paulo, Brazil",1
"San Miguel de Tucuman, Argentina",1
"Chapadmalal, Argentina",1
"AIB, Argentina",1
"Tarifa, Spain",1
"Tallahassee, FL",1
"Petaluma, CA",1
"ARF, Argentina",1
"Villeurbanne, France",1
"State of Rio Grande do Sul, Brazil",1
"BNE, Argentina",1
"Foz do Iguaçu, Brazil",1
"Cuautitlán Izcalli, Mexico",1
"FFD, Argentina",1
"Woodside, CA",1
"Leandro N. Alem, Argentina",1
"Hilversum, Netherlands",1
"Bogota, Colombia",1
"Campinas, Brazil",1
"Ra'anana, Israel",1
"Godoy Cruz, Argentina",1
"Chacabuco, Argentina",1
"Cádiz, Spain",1
"Bogotá, Colombia",1
"Renedo de Piélagos, Spain",1
"ABA, Argentina",1
"Nueve de Julio, Argentina",1
"Colonia Valdense, Uruguay",1
"Colón, Argentina",1
"Columbus, OH",1
Bolivia,1
"HAQ, Argentina",1
"Richmond, United Kingdom",1
"Catania, Italy",1
"São Bernardo do Campo, Brazil",1
"Entre Rios, Argentina",1
"Open Door, Argentina",1
"Stamford, CT",1
"AAO, Argentina",1
"Aarhus, Denmark",1
"Turin, Italy",1
"Elche, Spain",1
"Middletown, DE",1
"Villarrica, Chile",1
"Punta del Diablo, Uruguay",1
"Federal District, Brazil",1
"San Francisco, Argentina",1
"Las Heras, Argentina",1
"Concordia, Argentina",1
"Glendale, CA",1
"New Jersey, United States",1
"Collado Villalba, Spain",1
"Asheville, NC",1
"Pablo Nogués, Argentina",1
"Tournefeuille, France",1
"Darmstadt, Germany",1
"Île-de-France, France",1
"Alejandro Korn, Argentina",1
"La Falda, Argentina",1
"Villa Luzuriaga, Argentina",1
"İzmir Province, Turkey",1
"Galicia, Spain",1
"Humberto I, Argentina",1
"Curitiba, Brazil",1
"Rafael Castillo, Argentina",1
"Hayward, CA",1
"Urdinarrain, Argentina",1
"Busto Arsizio, Italy",1
"Torrelodones, Spain",1
"Norfolk, VA",1
"Villa General Belgrano, Argentina",1
"Pavia, Italy",1
"Pals, Spain",1
"Newark, DE",1
"Winifreda, Argentina",1
"Basque Country, Spain",1
"Dique Luján, Argentina",1
"Würzburg, Germany",1
"Manantiales, Uruguay",1
"AHF, Argentina",1
"Lago Puelo, Argentina",1
"Guarujá, Brazil",1
"Jacinto Aráuz, Argentina",1
"Catamarca, Argentina",1
"State of Santa Catarina, Brazil",1
"Secaucus, NJ",1
"Bayonne, France",1
"San Carlos Centro, Argentina",1
"Sardegna, Italy",1
"Monterey, CA",1
"Ranelagh, Buenos Aires, Argentina",1
"Chardonne, Switzerland",1
"Orlando, FL",1
"Edinburgh, United Kingdom",1
"Guatemala City, Guatemala",1
"Surry Hills, Australia",1
"Santiago de Querétaro, Mexico",1
"Escazu, Costa Rica",1
"Tres Arroyos, Argentina",1
"Villa Traful, Argentina",1
"Lusaka, Zambia",1
"Bernal Oeste, Argentina",1
"Carlsbad, CA",1
"Gulfport, FL",1
"Bra, Italy",1
"Aix-en-Provence, France",1
"Cerrito, Argentina",1
"Bay Of Plenty, New Zealand",1
"Rafael Calzada, Argentina",1
"San Miguel de Allende, Mexico",1
"Catalonia, Spain",1
"Tilcara, Argentina",1
"Williamsburg, VA",1
"Rio Ceballos, Argentina",1
"Villa Rosa, Argentina",1
"Tampa, FL",1
"Azcuénaga, Argentina",1
"Stavanger, Norway",1
"Manila, Philippines",1
"Haddonfield, NJ",1
"San Pedro Alcántara, Spain",1
"San Andrés, Argentina",1
"José Ingenieros, Argentina",1
"Chiavari, Italy",1
"Culiacán, Mexico",1
"Columbia, SC",1
"Imperia, Italy",1
"Rojas, Argentina",1
"Catriel, Argentina",1
"Royal Borough of Greenwich, United Kingdom",1
"Santos Lugares, Argentina",1
"Sion, Switzerland",1
"CEV, Argentina",1
"La Pedrera, Uruguay",1
"Ramat Gan, Israel",1
"Oinville-sous-Auneau, France",1
"Haiku-Pauwela, HI",1
"Great Falls, VA",1
"Tokyo, Japan",1
"Brisbane, Australia",1
"Byron Bay, Australia",1
"Bahía Bustamante, Argentina",1
"Tilburg, Netherlands",1
"Chicureo, Chile",1
"London, Canada",1
"Buena Park, CA",1
"Carlos Casares, Argentina",1
"Rubí, Spain",1
"Cape Coral, FL",1
"Ghent, Belgium",1
Kazakhstan,1
"Ocean Township, NJ",1
"Arlington, VA",1
"Villa Urquiza, Argentina",1
"La Juanita, Uruguay",1
"Zaragoza, Spain",1
"Adra, Spain",1
"Neu-Isenburg, Germany",1
"Bethesda, MD",1
"El Hoyo, Argentina",1
"St Albans, United Kingdom",1
"San Miguel de Cozumel, Mexico",1
"La Banda, Argentina",1
"Glew, Argentina",1
Dominican Republic,1
"Orange, CA",1
"North Vancouver, Canada",1
"Carolina, Puerto Rico",1
"Tolosa, Argentina",1
"Levallois-Perret, France",1
"Sundridge, United Kingdom",1
"Cholila, Argentina",1
"Key Biscayne, FL",1
"St Kilda, Australia",1
"Bend, OR",1
"Texas, United States",1
"Denver, CO",1
"Uspallata, Argentina",1
"Gualeguay, Argentina",1
"San Pedro de Jujuy, Argentina",1
"Bordeaux, France",1
"Western Australia, Australia",1
"Mar Chiquita, Argentina",1
